FSCL_YR,MINC,MINE,MINF,DepartmentNumber-Numéro-de-Ministère,DEPT_EN_DESC,DEPT_FR_DESC,RCPNT_CLS_EN_DESC,RCPNT_CLS_FR_DESC,RCPNT_NML_EN_DESC,RCPNT_NML_FR_DESC,CTY_EN_NM,CTY_FR_NM,PROVTER_EN,PROVTER_FR,CNTRY_EN_NM,CNTRY_FR_NM,TOT_CY_XPND_AMT,AGRG_PYMT_AMT
2023/2024,12,Employment and Workforce Development,Emploi et Développement de la main-d'oeuvre,014,Department of Employment and Social Development,Ministère de l'Emploi et du Développement social,"Payments to provinces, territories, municipalities, other public bodies, organizations, groups, communities, employers and individuals for the provision of training and/or work experience, the mobilization of community resources, and human resource planning and adjustment measures necessary for the efficient functioning of the Canadian labour market","Paiements aux provinces, aux territoires, aux municipalités, aux autres organismes publics, aux organisations, aux groupes, aux collectivités, aux employeurs et aux particuliers afin de pourvoir à la formation ou à l'expérience de travail, à la mobilisation des ressources communautaires et aux mesures de planification et d'adaptation de ressources humaines nécessaires au fonctionnement efficace du marché du travail canadien",Eva's Initiatives,Eva's Initiatives,Toronto,Toronto,Ontario,Ontario,,,0,471549
2023/2024,4,Canadian Heritage,Patrimoine canadien,135,Department of Canadian Heritage,Ministère du Patrimoine canadien,Contributions for the Sport Support Program,Contributions au Programme de soutien au sport,Canadian Amateur Rowing Association,Canadian Amateur Rowing Association,Victoria,Victoria,British Columbia,Colombie-Britannique,,,0,6158485
2023/2024,4,Canadian Heritage,Patrimoine canadien,135,Department of Canadian Heritage,Ministère du Patrimoine canadien,Grant to the Jewish Community Centre of Greater Vancouver,Subvention au Jewish Community Centre of Greater Vancouver,Jewish Foundation of Greater Vancouver,Jewish Foundation of Greater Vancouver,Vancouver,Vancouver,British Columbia,Colombie-Britannique,,,0,25000000
2023/2024,11,Health,Santé,136,Canadian Food Inspection Agency,Agence canadienne d'inspection des aliments,"(S) Compensation payments in accordance with requirements established by regulations under the Health of Animals Act and the Plant Protection Act, and authorized pursuant to the Canadian Food Inspection Agency Act",(S) Paiements d'indemnisation conformes aux exigences prévues par les règlements pris en application de la Loi sur la santé des animaux et la Loi sur la protection des végétaux et autorisés en vertu de la Loi sur l'Agence canadienne d'inspection des aliments,Lakeside Game Farm Inc,Lakeside Game Farm Inc,Lakeside,Lakeside,Ontario,Ontario,,,0,360447
2023/2024,1,Atlantic Canada Opportunities Agency,Agence de promotion économique du Canada atlantique,023,Atlantic Canada Opportunities Agency,Agence de promotion économique du Canada atlantique,Contributions under the Regional Economic Growth through Innovation program,Contributions en vertu du programme Croissance économique régionale par l'innovation,B-Line Technologies Inc,B-Line Technologies Inc,Halifax,Halifax,Nova Scotia,Nouvelle-Écosse,,,0,149750
2023/2024,12,Employment and Workforce Development,Emploi et Développement de la main-d'oeuvre,014,Department of Employment and Social Development,Ministère de l'Emploi et du Développement social,"Payments to provinces, territories, municipalities, other public bodies, organizations, groups, communities, employers and individuals for the provision of training and/or work experience, the mobilization of community resources, and human resource planning and adjustment measures necessary for the efficient functioning of the Canadian labour market","Paiements aux provinces, aux territoires, aux municipalités, aux autres organismes publics, aux organisations, aux groupes, aux collectivités, aux employeurs et aux particuliers afin de pourvoir à la formation ou à l'expérience de travail, à la mobilisation des ressources communautaires et aux mesures de planification et d'adaptation de ressources humaines nécessaires au fonctionnement efficace du marché du travail canadien",Easter Seals Canada,Easter Seals Canada,Toronto,Toronto,Ontario,Ontario,,,0,917532
2023/2024,14,"Innovation, Science and Industry","Innovation, Sciences et Industrie",035,National Research Council of Canada,Conseil national de recherches du Canada,Industrial Research Assistance Program - Contributions to Firms,Programme d'aide à la recherche industrielle - Contributions aux entreprises,Vanmok Inc,Vanmok Inc,Edmonton,Edmonton,Alberta,Alberta,,,0,250000
2023/2024,29,Infrastructure and Communities,Infrastructure et Collectivités,142,Office of Infrastructure of Canada,Bureau de l'infrastructure du Canada,Green and Inclusive Community Buildings Program,Programme d'infrastructure Investir dans le Canada,Sagamok Anishnawbek,Sagamok Anishnawbek,Massey,Massey,Ontario,Ontario,,,0,265289
2023/2024,12,Employment and Workforce Development,Emploi et Développement de la main-d'oeuvre,014,Department of Employment and Social Development,Ministère de l'Emploi et du Développement social,(S) Canada Disability Savings Grant payments to Registered Disability Savings Plan (RDSP) issuers on behalf of RDSP beneficiaries to encourage long-term financial security of eligible individuals with disabilities (Canada Disability Savings Act),(S) Paiements de Subventions canadiennes pour l'épargne-invalidité aux émetteurs de régimes enregistrés d'épargne-invalidité (REEI) au nom des bénéficiaires du REEI afin d'encourager la sécurité financière à long terme des personnes handicapées admissibles (Loi canadienne sur l'épargne-invalidité),National Bank of Canada,Banque Nationale du Canada,Montréal,Montréal,Quebec,Québec,,,0,16395404
2023/2024,31,Indigenous Services,Services aux Autochtones,191,Department of Indigenous Services,Ministère des Services aux Autochtones,Contributions to support Land Management and Economic Development,Contributions pour appuyer la gestion des terres et le développement économique,Snuneymuxw First Nation,Snuneymuxw First Nation,Nanaimo,Nanaimo,British Columbia,Colombie-Britannique,,,0,286068
